Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,126.169998,126.320000,124.830002,125.900002,125.368729,71057600
2021-06-08,126.599998,128.460007,126.209999,126.739998,126.205177,74403800
2021-06-09,127.209999,127.750000,126.519997,127.129997,126.593529,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,125.577843,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,126.812592,53522400
2021-06-14,127.820000,130.539993,127.070000,130.479996,129.929382,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,129.092941,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,129.600784,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,131.233856,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,129.909485,108953300
2021-06-21,130.300003,132.410004,129.210007,132.300003,131.741714,79663300
2021-06-22,132.130005,134.080002,131.619995,133.979996,133.414612,74783600
2021-06-23,133.770004,134.320007,133.229996,133.699997,133.135803,60214200
2021-06-24,134.449997,134.639999,132.929993,133.410004,132.847031,68711000
2021-06-25,133.460007,133.889999,132.809998,133.110001,132.548294,70783700
2021-06-28,133.410004,135.250000,133.350006,134.779999,134.211243,62111300
2021-06-29,134.800003,136.490005,134.350006,136.330002,135.754700,64556100
2021-06-30,136.169998,137.410004,135.869995,136.960007,136.382050,63261400
2021-07-01,136.600006,137.330002,135.759995,137.270004,136.690750,52485800
2021-07-02,137.899994,140.000000,137.750000,139.960007,139.369400,78852600
2021-07-06,140.070007,143.149994,140.070007,142.020004,141.420715,108181800
2021-07-07,143.539993,144.889999,142.660004,144.570007,143.959946,104911600
2021-07-08,141.580002,144.059998,140.669998,143.240005,142.635544,105575500
2021-07-09,142.750000,145.649994,142.649994,145.110001,144.497650,99890800
2021-07-12,146.210007,146.320007,144.000000,144.500000,143.890228,76299700
2021-07-13,144.029999,147.460007,143.630005,145.639999,145.025421,100827100
2021-07-14,148.100006,149.570007,147.679993,149.149994,148.520599,127050800
2021-07-15,149.240005,150.000000,147.089996,148.479996,147.853439,106820300
2021-07-16,148.460007,149.759995,145.880005,146.389999,145.772247,93251400
2021-07-19,143.750000,144.070007,141.669998,142.449997,141.848892,121434600
2021-07-20,143.460007,147.100006,142.960007,146.149994,145.533264,96350000
2021-07-21,145.529999,146.130005,144.630005,145.399994,144.786438,74993500
2021-07-22,145.940002,148.199997,145.809998,146.800003,146.180527,77338200
2021-07-23,147.550003,148.720001,146.919998,148.559998,147.933105,71447400
2021-07-26,148.270004,149.830002,147.699997,148.990005,148.361298,72434100
2021-07-27,149.119995,149.210007,145.550003,146.770004,146.150650,104818600
2021-07-28,144.809998,146.970001,142.539993,144.979996,144.368210,118931200
2021-07-29,144.690002,146.550003,144.580002,145.639999,145.025421,56699500
2021-07-30,144.380005,146.330002,144.110001,145.860001,145.244492,70382000
